"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","11248","","","","0"
"2009/2010","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","8978","","","","0"
"2009/2010","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2309","","","","0"
"2009/2010","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2443","","","","0"
"2009/2010","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","14868","","","","0"
"2009/2010","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","12801","","","","0"
"2009/2010","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","5985","","","","0"
"2009/2010","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","6256","","","","0"
"2009/2010","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","18051","","","","0"
"2009/2010","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","14140","","","","0"
"2009/2010","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3408","","","","0"
"2009/2010","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","3936","","","","0"
"2009/2010","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","11166","","","","0"
"2009/2010","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","7814","","","","0"
"2009/2010","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","5173","","","","0"
"2009/2010","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","3127","","","","0"
"2009/2010","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","12618","","","","0"
"2009/2010","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","2800","","","","0"
"2009/2010","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5240","","","","0"
"2009/2010","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4597","","","","0"
"2009/2010","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","17388","","","","0"
"2009/2010","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9272","","","","0"
"2009/2010","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4706","","","","0"
"2009/2010","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","6230","","","","0"
"2009/2010","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","16195","","","","0"
